iter	MultiClass
0	1.71177953
1	1.641919513
2	1.590272877
3	1.53606634
4	1.481216553
5	1.435366172
6	1.389699205
7	1.348672657
8	1.309008294
9	1.273245509
10	1.240009435
11	1.213344837
12	1.186794426
13	1.162994814
14	1.141264579
15	1.118324018
16	1.095307284
17	1.075519537
18	1.052843014
19	1.034918556
20	1.018612213
21	1.004240404
22	0.9913382015
23	0.9760699518
24	0.9609998614
25	0.9459432807
26	0.9291734719
27	0.9175265266
28	0.9062518026
29	0.8948318359
30	0.8844663
31	0.8738303012
32	0.8639335618
33	0.8512379487
34	0.8439131028
35	0.8370395202
36	0.829447221
37	0.8186788927
38	0.8094481967
39	0.8022252035
40	0.7948322043
41	0.7860249216
42	0.779108893
43	0.7705435212
44	0.7626461419
45	0.7535716443
46	0.7475267448
47	0.7404450934
48	0.7345379601
49	0.728381117
50	0.7225000819
51	0.7160456123
52	0.709450819
53	0.705043816
54	0.7004147035
55	0.6938580761
56	0.6879199269
57	0.6817598656
58	0.6766259596
59	0.66941236
60	0.6653652491
61	0.658752404
62	0.6535261394
63	0.6492021253
64	0.6451962505
65	0.6377401704
66	0.6331156079
67	0.6274808088
68	0.6236437767
69	0.6198051607
70	0.6146846562
71	0.6122090473
72	0.6078528408
73	0.603032649
74	0.5963494027
75	0.5929337257
76	0.5895844987
77	0.5853911117
78	0.5815210207
79	0.5787687824
80	0.5747657611
81	0.5717541494
82	0.5688647721
83	0.563213578
84	0.5578936314
85	0.5539737153
86	0.5513098863
87	0.5472943486
88	0.5434088115
89	0.5391988878
90	0.5348833417
91	0.5322127929
92	0.5291454365
93	0.5260605657
94	0.5213212524
95	0.5162911939
96	0.5118520388
97	0.5073766401
98	0.5041065375
99	0.5011798013
100	0.4961310429
101	0.4936390316
102	0.4887882599
103	0.4853721944
104	0.482179824
105	0.4790809704
106	0.4762053992
107	0.4741436656
108	0.4712521708
109	0.4676697594
110	0.4646542091
111	0.462145274
112	0.4583632676
113	0.4566404986
114	0.452581863
115	0.4495974628
116	0.4466024088
117	0.4431630594
118	0.4410260399
119	0.4379242281
120	0.4347060284
121	0.4318226749
122	0.4291602517
123	0.4261589241
124	0.4233140187
125	0.4201595097
126	0.4170196652
127	0.4142340275
128	0.4108055696
129	0.4086688031
130	0.4058456428
131	0.4031403138
132	0.4010687111
133	0.3992345832
134	0.3966892727
135	0.3936512399
136	0.3912116635
137	0.3889282381
138	0.3871467832
139	0.3846998839
140	0.3826664024
141	0.3811180459
142	0.3777672669
143	0.3757362381
144	0.373907047
145	0.3709720943
146	0.3694152463
147	0.3671581812
148	0.3649149544
149	0.3629012987
150	0.3608310772
151	0.3585523353
152	0.3577576957
153	0.3558345414
154	0.3539613361
155	0.3515846815
156	0.3500080835
157	0.3487431279
158	0.3478664803
159	0.3454177736
160	0.3441763897
161	0.3425337615
162	0.3410400549
163	0.3396248824
164	0.3387557386
165	0.3366025351
166	0.3346744764
167	0.3335865758
168	0.3322250186
169	0.3303643302
170	0.3275741976
171	0.3263541273
172	0.3253455898
173	0.323722481
174	0.3226423799
175	0.3206126493
176	0.3188709312
177	0.317709783
178	0.31673958
179	0.315218925
180	0.3137330038
181	0.3124426998
182	0.3116918675
183	0.3105763182
184	0.3093678811
185	0.3082782107
186	0.3072438916
187	0.3057912245
188	0.3040273414
189	0.302277188
190	0.3011652461
191	0.2996611191
192	0.2982316973
193	0.2969297179
194	0.2953733388
195	0.293923559
196	0.2930777148
197	0.291716502
198	0.2905688906
199	0.2897054218
200	0.288733795
201	0.2881997188
202	0.2876492253
203	0.2856484354
204	0.2838247239
205	0.2829994828
206	0.2813047609
207	0.2795237551
208	0.2790714271
209	0.2774563655
210	0.276143632
211	0.2751876656
212	0.2738652365
213	0.2722217333
214	0.2711978513
215	0.2698814911
216	0.2686351549
217	0.2675479019
218	0.2664468335
219	0.2654418754
220	0.2648729381
221	0.264031266
222	0.2630186574
223	0.2623473315
224	0.2610569331
225	0.2593760296
226	0.2582651435
227	0.2570953099
228	0.2563383226
229	0.2560060805
230	0.2550072664
231	0.2540164628
