iter	Passed	Remaining
0	0	806
1	1	664
2	2	762
3	2	711
4	3	777
5	4	802
6	5	841
7	7	868
8	7	871
9	8	869
10	9	851
11	10	849
12	11	866
13	11	834
14	12	818
15	13	815
16	14	821
17	14	804
18	15	813
19	16	811
20	17	810
21	18	815
22	19	816
23	20	828
24	21	833
25	22	837
26	23	830
27	24	836
28	24	836
29	25	835
30	26	838
31	27	839
32	28	844
33	29	840
34	30	836
35	31	834
36	31	832
37	32	829
38	33	826
39	34	816
40	34	815
41	35	815
42	36	813
43	37	807
44	37	803
45	38	800
46	39	797
47	40	794
48	40	791
49	41	790
50	42	785
51	42	780
52	43	775
53	43	769
54	44	765
55	45	761
56	45	755
57	46	751
58	46	745
59	47	738
60	47	730
61	47	724
62	48	720
63	48	714
64	49	708
65	49	702
66	50	698
67	50	693
68	51	688
69	51	683
70	51	678
71	52	674
72	52	669
73	53	663
74	53	660
75	53	655
76	54	651
77	54	648
78	55	645
79	55	641
80	56	637
81	56	634
82	57	630
83	57	627
84	58	624
85	58	621
86	58	618
87	59	615
88	59	612
89	60	609
90	60	607
91	61	604
92	61	601
93	62	599
94	62	597
95	63	594
96	63	592
97	64	589
98	64	587
99	64	584
100	65	582
101	65	579
102	66	577
103	66	575
104	67	573
105	67	571
106	68	568
107	68	566
108	69	564
109	69	562
110	69	560
111	70	557
112	70	555
113	71	553
114	71	551
115	72	550
116	72	548
117	73	546
118	73	545
119	74	543
120	74	541
121	74	539
122	75	537
123	75	535
124	76	533
125	76	531
126	77	530
127	77	528
128	78	527
129	78	525
130	78	523
131	79	521
132	79	520
133	80	518
134	80	517
135	81	516
136	81	514
137	82	513
138	82	512
139	83	510
140	83	509
141	83	507
142	84	505
143	84	503
144	85	502
145	85	500
146	86	499
147	86	497
148	86	496
149	87	494
150	87	493
151	88	491
152	88	490
153	89	489
154	89	488
155	89	486
156	90	485
157	90	483
158	91	482
159	91	481
160	92	480
161	92	478
162	92	477
163	93	476
164	93	475
165	94	473
166	94	472
167	95	471
168	95	470
169	96	469
170	96	468
171	97	467
172	97	466
173	98	465
174	98	464
175	98	463
176	99	461
177	99	460
178	100	459
179	100	458
180	101	457
181	101	456
182	101	455
183	102	453
184	102	452
185	103	452
186	103	451
187	104	449
188	104	448
189	105	447
190	105	446
191	105	445
192	106	444
193	106	444
194	107	443
195	107	442
196	108	441
197	108	440
198	109	439
199	109	438
200	109	437
201	110	435
202	110	434
203	111	433
204	111	433
205	112	431
206	112	431
207	113	430
208	113	429
209	113	428
210	114	427
211	114	426
212	115	426
213	115	425
214	116	424
215	116	422
216	116	422
217	117	421
218	117	420
219	118	419
220	118	418
221	119	417
222	119	417
223	120	415
224	120	415
225	120	414
226	121	413
227	121	412
228	122	411
229	122	410
230	123	409
231	123	408
232	124	408
233	124	407
234	124	406
235	125	405
236	125	404
237	126	403
238	126	403
239	127	402
240	127	401
241	127	400
242	128	399
243	128	399
244	129	398
245	129	397
246	130	397
247	130	396
248	131	395
249	131	393
250	131	393
251	132	392
252	132	391
253	133	391
254	133	390
255	134	389
256	134	389
257	135	388
258	135	387
259	135	386
260	136	386
261	136	385
262	137	384
263	137	384
264	138	383
265	138	382
266	139	381
267	139	381
268	139	380
269	140	379
270	140	378
271	141	377
272	141	377
273	142	376
274	142	375
275	142	374
276	143	374
277	143	373
278	144	372
279	144	372
280	145	371
281	145	370
282	146	369
283	146	369
284	146	368
285	147	367
286	147	366
287	148	366
288	148	365
289	149	364
290	149	364
291	149	363
292	150	362
293	150	362
294	151	361
295	151	360
296	152	360
297	152	359
298	153	358
299	153	358
300	154	357
301	154	357
302	155	356
303	155	356
304	155	355
305	156	354
306	156	354
307	157	353
308	157	352
309	158	352
310	158	351
311	158	350
312	159	349
313	159	349
314	160	348
315	160	348
316	161	347
317	161	346
318	162	345
319	162	345
320	162	344
321	163	344
322	163	343
323	164	342
324	164	342
325	165	341
326	165	341
327	166	340
328	166	339
329	167	339
330	167	338
331	167	337
332	168	336
333	168	336
334	169	335
335	169	334
336	169	334
337	170	333
338	170	333
339	171	332
340	171	331
341	172	331
342	172	330
343	173	330
344	173	329
345	174	329
346	174	328
347	175	327
348	175	327
349	175	326
350	176	326
351	176	325
352	177	324
353	177	324
354	178	323
355	178	322
356	178	322
357	179	321
358	179	321
359	180	320
360	180	319
361	181	319
362	181	318
363	181	317
364	182	317
365	182	316
366	183	316
367	183	315
368	184	314
369	184	314
370	184	313
371	185	312
372	185	312
373	186	311
374	186	311
375	187	310
376	187	309
377	187	309
378	188	308
379	188	308
380	189	307
381	189	306
382	190	306
383	190	305
384	190	305
385	191	304
386	191	303
387	192	303
388	192	302
389	193	302
390	193	302
391	194	301
392	194	301
393	195	300
394	195	299
395	196	299
396	196	298
397	197	298
398	197	297
399	197	296
400	198	296
401	198	295
402	199	295
403	199	294
404	200	294
405	200	293
406	201	292
407	201	292
408	201	291
409	202	291
410	202	290
411	203	290
412	203	289
413	204	289
414	204	288
415	205	288
416	205	287
417	206	286
418	206	286
419	207	285
420	207	285
421	208	284
422	208	284
423	208	283
424	209	283
425	209	282
426	210	282
427	210	281
428	211	281
429	211	280
430	212	280
431	212	279
432	212	278
433	213	278
434	213	277
435	214	277
436	214	276
437	215	276
438	215	275
